Episode	Reward	Steps
1	81.00	20
2	97.00	4
3	93.00	8
4	99.00	2
5	97.00	4
6	99.00	2
7	69.00	32
8	99.00	2
9	97.00	4
10	91.00	10
11	99.00	2
12	97.00	4
13	99.00	2
14	93.00	8
15	97.00	4
16	99.00	2
17	95.00	6
18	89.00	12
19	89.00	12
20	97.00	4
21	87.00	14
22	91.00	10
23	97.00	4
24	97.00	4
25	95.00	6
26	93.00	8
27	95.00	6
28	97.00	4
29	99.00	2
30	97.00	4
31	99.00	2
32	95.00	6
33	83.00	18
34	85.00	16
35	97.00	4
36	95.00	6
37	95.00	6
38	91.00	10
39	97.00	4
40	99.00	2
41	99.00	2
42	97.00	4
43	97.00	4
44	97.00	4
45	99.00	2
46	89.00	12
47	91.00	10
48	85.00	16
49	97.00	4
50	91.00	10
51	95.00	6
52	95.00	6
53	97.00	4
54	93.00	8
55	97.00	4
56	99.00	2
57	91.00	10
58	91.00	10
59	95.00	6
60	95.00	6
61	97.00	4
62	89.00	12
63	95.00	6
64	89.00	12
65	97.00	4
66	97.00	4
67	93.00	8
68	87.00	14
69	99.00	2
70	97.00	4
71	95.00	6
72	99.00	2
73	97.00	4
74	99.00	2
75	91.00	10
76	97.00	4
77	99.00	2
78	93.00	8
79	93.00	8
80	85.00	16
81	93.00	8
82	89.00	12
83	77.00	24
84	95.00	6
85	95.00	6
86	91.00	10
87	81.00	20
88	99.00	2
89	99.00	2
90	85.00	16
91	93.00	8
92	89.00	12
93	95.00	6
94	99.00	2
95	99.00	2
96	89.00	12
97	99.00	2
98	93.00	8
99	97.00	4
100	99.00	2
101	91.00	10
102	93.00	8
103	99.00	2
104	95.00	6
105	99.00	2
106	93.00	8
107	99.00	2
108	99.00	2
109	95.00	6
110	91.00	10
111	99.00	2
112	91.00	10
113	99.00	2
114	97.00	4
115	95.00	6
116	97.00	4
117	97.00	4
118	89.00	12
119	99.00	2
120	89.00	12
121	99.00	2
122	99.00	2
123	95.00	6
124	99.00	2
125	95.00	6
126	97.00	4
127	99.00	2
128	99.00	2
129	97.00	4
130	91.00	10
131	95.00	6
132	93.00	8
