date_id,date,year,month,day,quarter,day_of_week,day_of_year,is_weekend,is_holiday,month_name,day_name,fiscal_year,fiscal_quarter,week_number
45,2016-02-14,2016,2,14,1,6,45,1,0,February,Sunday,2016,1,6
569,2017-07-22,2017,7,22,3,5,203,1,0,July,Saturday,2018,3,29
57,2016-02-26,2016,2,26,1,4,57,0,0,February,Friday,2016,1,8
637,2017-09-28,2017,9,28,3,3,271,0,0,September,Thursday,2018,3,39
487,2017-05-01,2017,5,1,2,0,121,0,0,May,Monday,2018,2,18
97,2016-04-06,2016,4,6,2,2,97,0,0,April,Wednesday,2017,2,14
762,2018-01-31,2018,1,31,1,2,31,0,0,January,Wednesday,2018,1,5
52,2016-02-21,2016,2,21,1,6,52,1,0,February,Sunday,2016,1,7
108,2016-04-17,2016,4,17,2,6,108,1,0,April,Sunday,2017,2,15
667,2017-10-28,2017,10,28,4,5,301,1,0,October,Saturday,2018,4,43
632,2017-09-23,2017,9,23,3,5,266,1,0,September,Saturday,2018,3,38
271,2016-09-27,2016,9,27,3,1,271,0,0,September,Tuesday,2017,3,39
546,2017-06-29,2017,6,29,2,3,180,0,0,June,Thursday,2018,2,26
850,2018-04-29,2018,4,29,2,6,119,1,0,April,Sunday,2019,2,17
1015,2018-10-11,2018,10,11,4,3,284,0,0,October,Thursday,2019,4,41
874,2018-05-23,2018,5,23,2,2,143,0,0,May,Wednesday,2019,2,21
567,2017-07-20,2017,7,20,3,3,201,0,0,July,Thursday,2018,3,29
517,2017-05-31,2017,5,31,2,2,151,0,0,May,Wednesday,2018,2,22
450,2017-03-25,2017,3,25,1,5,84,1,0,March,Saturday,2017,1,12
718,2017-12-18,2017,12,18,4,0,352,0,0,December,Monday,2018,4,51
1008,2018-10-04,2018,10,4,4,3,277,0,0,October,Thursday,2019,4,40
232,2016-08-19,2016,8,19,3,4,232,0,0,August,Friday,2017,3,33
329,2016-11-24,2016,11,24,4,3,329,0,0,November,Thursday,2017,4,47
463,2017-04-07,2017,4,7,2,4,97,0,0,April,Friday,2018,2,14
87,2016-03-27,2016,3,27,1,6,87,1,0,March,Sunday,2016,1,12
211,2016-07-29,2016,7,29,3,4,211,0,0,July,Friday,2017,3,30
1048,2018-11-13,2018,11,13,4,1,317,0,0,November,Tuesday,2019,4,46
479,2017-04-23,2017,4,23,2,6,113,1,0,April,Sunday,2018,2,16
293,2016-10-19,2016,10,19,4,2,293,0,0,October,Wednesday,2017,4,42
738,2018-01-07,2018,1,7,1,6,7,1,0,January,Sunday,2018,1,1
71,2016-03-11,2016,3,11,1,4,71,0,0,March,Friday,2016,1,10
360,2016-12-25,2016,12,25,4,6,360,1,0,December,Sunday,2017,4,51
89,2016-03-29,2016,3,29,1,1,89,0,0,March,Tuesday,2016,1,13
248,2016-09-04,2016,9,4,3,6,248,1,0,September,Sunday,2017,3,35
1020,2018-10-16,2018,10,16,4,1,289,0,0,October,Tuesday,2019,4,42
799,2018-03-09,2018,3,9,1,4,68,0,0,March,Friday,2018,1,10
159,2016-06-07,2016,6,7,2,1,159,0,0,June,Tuesday,2017,2,23
848,2018-04-27,2018,4,27,2,4,117,0,0,April,Friday,2019,2,17
715,2017-12-15,2017,12,15,4,4,349,0,0,December,Friday,2018,4,50
679,2017-11-09,2017,11,9,4,3,313,0,0,November,Thursday,2018,4,45
834,2018-04-13,2018,4,13,2,4,103,0,0,April,Friday,2019,2,15
179,2016-06-27,2016,6,27,2,0,179,0,0,June,Monday,2017,2,26
142,2016-05-21,2016,5,21,2,5,142,1,0,May,Saturday,2017,2,20
1065,2018-11-30,2018,11,30,4,4,334,0,0,November,Friday,2019,4,48
502,2017-05-16,2017,5,16,2,1,136,0,0,May,Tuesday,2018,2,20
320,2016-11-15,2016,11,15,4,1,320,0,0,November,Tuesday,2017,4,46
335,2016-11-30,2016,11,30,4,2,335,0,0,November,Wednesday,2017,4,48
844,2018-04-23,2018,4,23,2,0,113,0,0,April,Monday,2019,2,17
972,2018-08-29,2018,8,29,3,2,241,0,0,August,Wednesday,2019,3,35
945,2018-08-02,2018,8,2,3,3,214,0,0,August,Thursday,2019,3,31
140,2016-05-19,2016,5,19,2,3,140,0,0,May,Thursday,2017,2,20
940,2018-07-28,2018,7,28,3,5,209,1,0,July,Saturday,2019,3,30
559,2017-07-12,2017,7,12,3,2,193,0,0,July,Wednesday,2018,3,28
558,2017-07-11,2017,7,11,3,1,192,0,0,July,Tuesday,2018,3,28
594,2017-08-16,2017,8,16,3,2,228,0,0,August,Wednesday,2018,3,33
