location_id,parent_location_id,location_level,region,state,city,zip_code_prefix,latitude,longitude,customer_count,seller_count,order_count
38689,MG,zip_code,Sudeste,MG,chapada gaucha,38689,-15.3042009085066,-45.62602430283554,2.0,0.0,2.0
03976,SP,zip_code,Sudeste,SP,so paulo,3976,-23.609613569416247,-46.49667766555989,4.0,1.0,4.0
06268,SP,zip_code,Sudeste,SP,osasco,6268,-23.49407725898757,-46.777854569911895,11.0,2.0,11.0
36420,MG,zip_code,Sudeste,MG,ouro branco,36420,-20.51905219062326,-43.70767267047501,41.0,0.0,41.0
81730,PR,zip_code,Sul,PR,curitiba,81730,-25.51611891312255,-49.2290966956548,11.0,2.0,11.0
38408,MG,zip_code,Sudeste,MG,uberlandia,38408,-18.926085352761262,-48.22648379156328,68.0,1.0,68.0
24911,RJ,zip_code,Sudeste,RJ,marica,24911,-22.902639497905437,-42.835591793593146,0.0,0.0,0.0
35661,MG,zip_code,Sudeste,MG,par de minas,35661,-19.860438774695695,-44.59797225430084,15.0,0.0,15.0
75790,GO,zip_code,Centro-Oeste,GO,urutai,75790,-17.46359960915633,-48.20357956753416,3.0,0.0,3.0
35500,MG,zip_code,Sudeste,MG,divinopolis,35500,-20.15680919587973,-44.85930581092283,86.0,4.0,86.0
04119,SP,zip_code,Sudeste,SP,sao paulo,4119,-23.591647445467107,-46.63409324562872,22.0,1.0,22.0
89036,SC,zip_code,Sul,SC,blumenau,89036,-26.922439051529,-49.09802052249905,9.0,2.0,9.0
44230,BA,zip_code,Nordeste,BA,amlia rodrigues,44230,-12.416237999999993,-38.75219999999999,3.0,0.0,3.0
22750,RJ,zip_code,Sudeste,RJ,rio de janeiro,22750,-22.93693037641969,-43.333043892984165,51.0,0.0,51.0
11730,SP,zip_code,Sudeste,SP,mongagua,11730,-24.129927022522715,-46.70255318595781,42.0,0.0,42.0
01534,SP,zip_code,Sudeste,SP,sao paulo,1534,-23.56774373965611,-46.62621866362735,9.0,0.0,9.0
16010,SP,zip_code,Sudeste,SP,aracatuba,16010,-21.21159507799065,-50.436730561198,12.0,0.0,12.0
87015,PR,zip_code,Sul,PR,maringa,87015,-23.434469316116587,-51.96123735611585,12.0,6.0,12.0
06763,SP,zip_code,Sudeste,SP,taboao da serra,6763,-23.613597749843088,-46.76512654941352,21.0,1.0,21.0
83420,PR,zip_code,Sul,PR,quatro barras,83420,-25.368499661600477,-49.06196302019125,18.0,0.0,18.0
76680,GO,zip_code,Centro-Oeste,GO,itapuranga,76680,-15.552058997766276,-49.953492283448824,7.0,0.0,7.0
29730,ES,zip_code,Sudeste,ES,baixo guandu,29730,-19.504611696465417,-41.03113523072382,8.0,0.0,8.0
68927,AP,zip_code,Norte,AP,santana,68927,-0.0359277645283952,-51.16788044715518,3.0,0.0,3.0
06810,SP,zip_code,Sudeste,SP,embu das artes,6810,-23.64618530945243,-46.80445472176692,14.0,0.0,14.0
44034,BA,zip_code,Nordeste,BA,feira de santana,44034,-12.206103443245402,-38.97147956203471,0.0,0.0,0.0
21235,RJ,zip_code,Sudeste,RJ,rio de janeiro,21235,-22.837446816001975,-43.3319601809396,37.0,1.0,37.0
41820,BA,zip_code,Nordeste,BA,salvador,41820,-12.986961192336558,-38.45977813474526,28.0,2.0,28.0
87040,PR,zip_code,Sul,PR,maringa,87040,-23.41422208977022,-51.898502811439975,2.0,2.0,2.0
25055,RJ,zip_code,Sudeste,RJ,duque de caxias,25055,-22.758889489118182,-43.27844387825477,4.0,0.0,4.0
89804,SC,zip_code,Sul,SC,chapeco,89804,-27.079262370985344,-52.626828353775416,6.0,0.0,6.0
01321,SP,zip_code,Sudeste,SP,sao paulo,1321,-23.56779326533555,-46.6433133738531,16.0,0.0,16.0
06612,SP,zip_code,Sudeste,SP,jandira,6612,-23.52187211908661,-46.92519389022393,5.0,0.0,5.0
18720,SP,zip_code,Sudeste,SP,paranapanema,18720,-23.38048567188789,-48.72715318604096,11.0,0.0,11.0
28300,RJ,zip_code,Sudeste,RJ,itaperuna,28300,-21.188418115255057,-41.89730185555686,47.0,0.0,47.0
39680,MG,zip_code,Sudeste,MG,capelinha,39680,-17.69484156860402,-42.51768273201521,20.0,0.0,20.0
79833,MS,zip_code,Centro-Oeste,MS,dourados,79833,-22.215322933553185,-54.76201753363552,5.0,0.0,5.0
12914,SP,zip_code,Sudeste,SP,braganca paulista,12914,-22.971192168964663,-46.53069717520333,8.0,2.0,8.0
41342,BA,zip_code,Nordeste,BA,salvador,41342,-12.850107296150902,-38.45092640383171,3.0,1.0,3.0
17056,SP,zip_code,Sudeste,SP,bauru,17056,-22.36054245132414,-49.10179815266309,2.0,2.0,2.0
39718,MG,zip_code,Sudeste,MG,nacip raydan,39718,-18.45586479677623,-42.247370542237896,1.0,0.0,1.0
59090,RN,zip_code,Nordeste,RN,natal,59090,-5.871808443154695,-35.18059827306835,8.0,0.0,8.0
95900,RS,zip_code,Sul,RS,lajeado,95900,-29.450768240388243,-51.95272661475476,29.0,2.0,29.0
08544,SP,zip_code,Sudeste,SP,ferraz de vasconcelos,8544,-23.531807336718767,-46.364626524610486,3.0,0.0,3.0
17519,SP,zip_code,Sudeste,SP,marilia,17519,-22.225050765191323,-49.93905604218365,10.0,0.0,10.0
27910,RJ,zip_code,Sudeste,RJ,macae,27910,-22.37333917216797,-41.78264909681508,23.0,0.0,23.0
