geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
38689,-15.3042009085066,-45.62602430283554,CHAPADA GAUCHA,MG
03976,-23.609613569416247,-46.49667766555989,SO PAULO,SP
06268,-23.49407725898757,-46.777854569911895,OSASCO,SP
36420,-20.51905219062326,-43.70767267047501,OURO BRANCO,MG
81730,-25.51611891312255,-49.2290966956548,CURITIBA,PR
38408,-18.926085352761262,-48.22648379156328,UBERLANDIA,MG
24911,-22.902639497905437,-42.835591793593146,MARICA,RJ
35661,-19.860438774695695,-44.59797225430084,PAR DE MINAS,MG
75790,-17.46359960915633,-48.20357956753416,URUTAI,GO
35500,-20.15680919587973,-44.85930581092283,DIVINOPOLIS,MG
04119,-23.591647445467107,-46.63409324562872,SAO PAULO,SP
89036,-26.922439051529,-49.09802052249905,BLUMENAU,SC
44230,-12.416237999999993,-38.75219999999999,AMLIA RODRIGUES,BA
22750,-22.93693037641969,-43.333043892984165,RIO DE JANEIRO,RJ
11730,-24.129927022522715,-46.70255318595781,MONGAGUA,SP
01534,-23.56774373965611,-46.62621866362735,SAO PAULO,SP
16010,-21.21159507799065,-50.436730561198,ARACATUBA,SP
87015,-23.434469316116587,-51.96123735611585,MARINGA,PR
06763,-23.613597749843088,-46.76512654941352,TABOAO DA SERRA,SP
83420,-25.368499661600477,-49.06196302019125,QUATRO BARRAS,PR
76680,-15.552058997766276,-49.953492283448824,ITAPURANGA,GO
29730,-19.504611696465417,-41.03113523072382,BAIXO GUANDU,ES
68927,-0.0359277645283952,-51.16788044715518,SANTANA,AP
06810,-23.64618530945243,-46.80445472176692,EMBU DAS ARTES,SP
44034,-12.206103443245402,-38.97147956203471,FEIRA DE SANTANA,BA
21235,-22.837446816001975,-43.3319601809396,RIO DE JANEIRO,RJ
41820,-12.986961192336558,-38.45977813474526,SALVADOR,BA
87040,-23.41422208977022,-51.898502811439975,MARINGA,PR
25055,-22.758889489118182,-43.27844387825477,DUQUE DE CAXIAS,RJ
89804,-27.079262370985344,-52.626828353775416,CHAPECO,SC
01321,-23.56779326533555,-46.6433133738531,SAO PAULO,SP
06612,-23.52187211908661,-46.92519389022393,JANDIRA,SP
18720,-23.38048567188789,-48.72715318604096,PARANAPANEMA,SP
28300,-21.188418115255057,-41.89730185555686,ITAPERUNA,RJ
39680,-17.69484156860402,-42.51768273201521,CAPELINHA,MG
79833,-22.215322933553185,-54.76201753363552,DOURADOS,MS
