product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
f819f0c84a64f02d3a5606ca95edd272,relogios_presentes,59,452,1,710,19,13,14
b9de40e43fccb6ba53b7eadbd5c49077,utilidades_domesticas,41,1188,3,700,70,10,15
26afe4ed5890d941fcba14205863eec7,moveis_decoracao,47,1092,1,3850,30,30,30
986870b9985d95ef6205bae1953a61a5,moveis_decoracao,50,646,1,300,20,30,16
28ce57ecf4afba85e6020ec0209cada9,cool_stuff,31,248,2,5650,73,73,20
7cb2ff3193293db892fd5697aa99a19b,moveis_decoracao,56,297,2,950,100,5,20
116a8f521211c179741c051816f2b898,cama_mesa_banho,38,353,1,1200,16,10,16
b3e99300a2d0481e7b1d7ce484d498cf,fashion_bolsas_e_acessorios,47,395,4,300,16,9,11
609092e5b5c4a202878eb9ba03b47793,brinquedos,29,507,2,500,20,18,18
355c91ffac499557d65c0821237b6350,fashion_bolsas_e_acessorios,42,770,1,850,16,2,11
dd6171dfce1d62dbf472f83fa352d309,cama_mesa_banho,43,862,1,600,20,10,20
a8b5e02c7f69ca5ccdfa99417079d135,livros_tecnicos,41,1002,1,2050,28,5,21
af210e7b5709fdeb3984f93a10da094e,beleza_saude,53,1112,4,7525,35,32,35
bdb4be6ce2f7f2b5be0a16088028c7fc,utilidades_domesticas,54,851,1,3100,45,28,26
50f45d42cdfecd33a2424a1c617d251f,cama_mesa_banho,55,221,1,450,30,20,16
1e6981e727154bcd941d51fda894b183,bebes,18,778,2,1450,34,44,18
35afc973633aaeb6b877ff57b2793310,casa_conforto,56,176,1,1825,53,10,40
b83738ac1903f7c8f0ed378cb085909c,eletronicos,56,1184,3,5700,20,15,13
cce679660c66e6fbd5c8091dfd29e9cd,cama_mesa_banho,43,125,1,250,40,4,30
199f076c011ea5e8b546bff05d4f2477,moveis_decoracao,47,616,3,1300,105,15,15
c6bdd07f0a20ccd19d51de91c1551952,informatica_acessorios,48,561,3,300,16,8,11
9ed00cd89e3b3a0107996fe62feab381,telefonia,59,818,6,350,17,4,12
291c7fc5097e83062a4377ca30c6b834,telefonia,42,509,1,350,28,7,17
aca71e1fceaea4278f27aab8a3498f60,automotivo,57,1331,4,100,16,4,12
4eb0d9529369cb573f792d489af46f51,ferramentas_jardim,37,98,1,2450,22,20,18
0538b3ea14af3cc3ee6bdaf940367cee,UNKNOWN,0,0,0,150,20,4,20
30a47cc354b9607076272300c899dce9,bebes,26,1594,5,450,26,7,22
2f46e035eccda1e1e2127096bb7483e7,esporte_lazer,55,1920,3,1800,28,8,15
72b253635b316f49e42e618d6e585ebc,brinquedos,23,273,1,125,22,7,14
564a04f027fb97b53ca08464632db860,relogios_presentes,46,2021,3,550,20,12,15
1bc861b90a53405f92c18482e45e897c,malas_acessorios,45,225,1,600,47,10,34
13db47eae724e2848e12b71a617a3a41,audio,34,468,1,425,17,11,14
e47eff9f97c9536c9f768f86e13252f6,UNKNOWN,0,0,0,10250,40,32,32
e7261ba9b589b73ac45411a15058403e,informatica_acessorios,60,491,1,1600,25,9,25
c8e7c2ef329fcda4a233e7e2f8bb8b7d,utilidades_domesticas,58,1245,1,200,16,12,11
ae52eeb8383b94455f0a08b1f88ad002,informatica_acessorios,60,882,1,167,21,13,12
10dae91e0aba95747e90280edeffe883,bebes,54,1027,3,100,17,6,11
e09cef1f7f2bc3a9c9d996608944de19,cama_mesa_banho,50,325,2,1300,37,23,35
ccf62ee5ee151b8c5ce49beda185a66e,moveis_decoracao,63,455,6,18950,85,7,85
